"
            Park          ","
            Title          ","
            Region          ","
            State          ","
            Length          ","
            Difficulty          ","
            Features          ","
            Dogs          ","
            Trailhead GPS Coordinates          ","
            Total views          "
"
            Appalachian National Scenic Trail          ","
            Appalachian Trail on Bellvale Mountain          ","
            Long Distance Trails          ","
            NY          ","
            7.1 miles          ","
            Strenuous          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.244159,-74.286675          ","
            49,213          "
"
            Appalachian National Scenic Trail          ","
            Appalachian Trail - Hoyt Road, NY to Conn. 341, Kent, CT          ","
            Southern Taconics          ","
            NY/CT          ","
            11.5 miles          ","
            Strenuous          ","
            ViewsWaterfallWoods          ","
            Allowed on leash          ","
            41.731029, -73.490691 (CT) to spot car, 41.640959, -73.520118 (Hoyt Rd) to start hike          ","
            17,377          "
"
            Appalachian National Scenic Trail          ","
            Cat Rocks and Nuclear Lake on Appalachian Trail in Dutchess County, NY          ","
            Long Distance Trails          ","
            NY          ","
            12.7 miles          ","
            Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.593878,-73.586989          ","
            14,720          "
"
            Appalachian National Scenic Trail          ","
            Appalachian Trail North of Route 17A in Warwick, NY          ","
            Long Distance Trails          ","
            NY          ","
            4.8 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.244159,-74.286675          ","
            11,226          "
"
            Black Creek Preserve          ","
            Black Creek Preserve          ","
            Shawangunk Mountains          ","
            NY          ","
            2.5 miles          ","
            Easy to Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.819688,-73.963695          ","
            8,355          "
"
            Black Rock Forest          ","
            Sutherland Pond/Scenic Trail/Eagle Cliff Loop from Mine Hill Road          ","
            Storm King and Black Rock Forest          ","
            NY          ","
            6.5 miles          ","
            Moderate          ","
            ViewsSwimmingHistoric feature          ","
            Allowed on leash          ","
            41.402043,-74.047106          ","
            38,874          "
"
            Black Rock Forest          ","
            Mt. Misery/Hill of Pines/Rattlesnake Hill/Black Rock Mountain Loop          ","
            Storm King and Black Rock Forest          ","
            NY          ","
            7.5 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
            41.41857, -74.01014          ","
            31,501          "
"
            Black Rock Forest          ","
            Black Rock Mountain and Sphagnum Pond Loop from Mine Hill Road          ","
            Storm King and Black Rock Forest          ","
            NY          ","
            5 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.398896,-74.04974          ","
            17,478          "
"
            Black Rock Forest          ","
            Black Rock Mountain Circuit Via Footpaths and Woods Roads          ","
            Storm King and Black Rock Forest          ","
            NY          ","
            4.5 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
            41.41857, -74.01014          ","
            22,292          "
"
            Blue Mountain Reservation          ","
            Blue Mountain Reservation Loop          ","
            Westchester County          ","
            NY          ","
            5 miles          ","
            Easy to Moderate          ","
            ViewsBikes allowed          ","
            Allowed on leash          ","
            41.271372,-73.928418          ","
            25,669          "
"
            Bronx River Parkway Reservation          ","
            Bronx River Pathway          ","
            Westchester County          ","
            NY          ","
            9.8 miles          ","
            Easy          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.072014,-73.768624          ","
            13,243          "
"
            Butler Memorial Sanctuary          ","
            Butler Memorial Sanctuary (Mt. Kisco, NY)          ","
            Westchester County          ","
            NY          ","
            3.5 miles          ","
            Easy to Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.18253,-73.686934          ","
            19,083          "
"
            Buttermilk Falls County Park          ","
            Buttermilk Falls  in Rockland County          ","
            Rockland County          ","
            NY          ","
            1.2 miles          ","
            Easy to Moderate          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
            41.087131,-73.94744          ","
            51,222          "
"
            Buttermilk Falls County Park          ","
            Buttermilk Falls and Long Path in Rockland County          ","
            Rockland County          ","
            NY          ","
            4 miles          ","
            Moderate          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
            41.087131,-73.94744          ","
            32,002          "
"
            Catskill Park          ","
            Mud Pond/Trout Pond Loop          ","
            Catskills          ","
            NY          ","
            4.8 miles          ","
            Moderate          ","
            Swimming          ","
            Allowed off leash          ","
            41.994457,-74.940834          ","
            30,643          "
"
            Catskill Park          ","
            Hunter Mountain Fire Tower          ","
            Catskills          ","
            NY          ","
            8 miles          ","
            Strenuous          ","
            ViewsHistoric feature          ","
            Allowed off leash          ","
            42.18478, -74.27178          ","
            22,319          "
"
            Catskill Park          ","
            Slide Mountain (Highest Peak in Catskills)  Loop          ","
            Catskills          ","
            NY          ","
            6.8 miles          ","
            Strenuous          ","
            Views          ","
            Allowed off leash          ","
            42.010928,-74.422371 (Estimated)          ","
            69,764          "
"
            Catskill Park          ","
            Plateau Mountain Via Warner Creek Trail          ","
            Catskills          ","
            NY          ","
            8 miles          ","
            Strenuous          ","
            Views          ","
            Allowed off leash          ","
            42.140337,-74.212239          ","
            13,260          "
"
            Catskill Park          ","
            Catskill Escarpment Loop (South) from Scutt Road (North/South Lake)          ","
            Catskills          ","
            NY          ","
            4.7 miles          ","
            Moderate          ","
            ViewsSwimmingHistoric feature          ","
            Allowed on leash          ","
            42.200662,-74.058473          ","
            38,465          "
"
            Catskill Park          ","
            North-South Lake/Escarpment Trail Loop Hike          ","
            Catskills          ","
            NY          ","
            10.3 miles          ","
            Moderate to Strenuous          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            42.200662,-74.058473          ","
            32,312          "
"
            Catskill Park          ","
            Balsam Mountain Catskill High Peak          ","
            Catskills          ","
            NY          ","
            5.2 miles          ","
            Strenuous          ","
            Views          ","
            Allowed off leash          ","
            42.097044,-74.51005          ","
            15,068          "
"
            Catskill Park          ","
            Windham High Peak          ","
            Catskills          ","
            NY          ","
            6.4 miles          ","
            Strenuous          ","
            Views          ","
            Allowed off leash          ","
            42.296441,-74.169152          ","
            12,985          "
"
            Catskill Park          ","
            Peekamoose and Table Mountains          ","
            Catskills          ","
            NY          ","
            9.2 miles          ","
            Strenuous          ","
            ViewsWaterfallWoods          ","
            Allowed off leash          ","
            41.915164, -74.429080          ","
            19,872          "
"
            Catskill Park          ","
            Indian Head Mountain Loop          ","
            Catskills          ","
            NY          ","
            7.8 miles          ","
            Strenuous          ","
            ViewsWoods          ","
            Allowed off leash          ","
            42.133827, -74.081967          ","
            16,503          "
"
            Catskill Park          ","
            Windham High Peak via Burnt Knob          ","
            Catskills          ","
            NY          ","
            7.3 miles          ","
            Strenuous          ","
            Views          ","
            Allowed off leash          ","
            42.288765, -74.114545          ","
            6,380          "
"
            Catskill Park          ","
            Acra Point and Batavia Kill Loop          ","
            Catskills          ","
            NY          ","
            5.2 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed off leash          ","
            42.288765, -74.114545          ","
            8,870          "
"
            Catskill Park          ","
            Touchmenot Mountain (Catskills)          ","
            Catskills          ","
            NY          ","
            5 miles          ","
            Moderate to Strenuous          ","
            ViewsWoods          ","
            Allowed off leash          ","
            42.06520054523206,-74.75181341171265          ","
            8,455          "
"
            Catskill Park          ","
            Kanape Brook and Ashokan High Point          ","
            Catskills          ","
            NY          ","
            9.2 miles          ","
            Strenuous          ","
            ViewsHistoric feature          ","
            Allowed off leash          ","
            41.935710, -74.328383           ","
            7,536          "
"
            Catskill Park          ","
            Platte Clove to Overlook Mountain via Codfish Point and Echo Lake          ","
            Catskills          ","
            NY          ","
            13 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfallHistoric feature          ","
            Allowed off leash          ","
            42.133827, -74.081967          ","
            10,587          "
"
            Catskill Park          ","
            Shavertown Trail on Perch Lake Mountain in Catskills          ","
            Catskills          ","
            NY          ","
            5.3 miles          ","
            Moderate          ","
            Views          ","
            Allowed off leash          ","
            42.089945, -74.818863          ","
            2,651          "
"
            Catskill Park          ","
            Devils Path East Section            ","
            Catskills          ","
            NY          ","
            13.1 miles          ","
            Very Strenuous          ","
            Views          ","
            Allowed off leash          ","
            Notch Lake 42.159555,-74.203185 Prediger Rd. 42.134256,-74.104093          ","
            4,410          "
"
            Catskill Park          ","
            Catskills Frick Pond Loop Via Quick Lake, Big Rock and Loggers Loop Trails          ","
            Catskills          ","
            NY          ","
            2.2 miles          ","
            Easy          ","
            Views          ","
            Allowed off leash          ","
            41.951020, -74.707197          ","
            1,899          "
"
            Catskill Park          ","
            Balsam Lake Mountain from Beaver Kill Road          ","
            Catskills          ","
            NY          ","
            4.4 miles          ","
            Strenuous          ","
            Views          ","
            Allowed off leash          ","
            42.023892, -74.599734          ","
            781          "
"
            Catskill Park          ","
            Catskill Escarpment Loop (North) from Scutt Road (North/South Lake)          ","
            Catskills          ","
            NY          ","
            7.2 miles          ","
            Moderate          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            42.200662,-74.058473          ","
            831          "
"
            Cranberry Lake Preserve          ","
            Cranberry Lake Preserve Loop          ","
            Westchester County          ","
            NY          ","
            3 miles          ","
            Easy          ","
            WaterfallHistoric feature          ","
            No Dogs          ","
            41.081923,-73.755898          ","
            41,865          "
"
            Dater Mountain Nature Park          ","
            Dater Mountain Nature Park          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            2.5 miles          ","
            Easy to Moderate          ","
            ViewsWoods          ","
            Allowed on leash          ","
            41.175553,-74.170697          ","
            11,126          "
"
            Fahnestock State Park          ","
            Catfish Loop Trail          ","
            Fahnestock State Park          ","
            NY          ","
            4.9 miles          ","
            Easy to Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.420722,-73.868799          ","
            16,752          "
"
            Fahnestock State Park          ","
            Charcoal Burners/Cabot/Perkins/Fahnestock Trail Loop          ","
            Fahnestock State Park          ","
            NY          ","
            7.2 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.444779,-73.858345 (Estimated)          ","
            12,758          "
"
            Fahnestock State Park          ","
            Round Hill/East Mountain Loop          ","
            Fahnestock State Park          ","
            NY          ","
            7.5 miles          ","
            Moderate          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            41.442839,-73.915168          ","
            12,325          "
"
            Fahnestock State Park          ","
            Three Lakes Trail/Appalachian Trail Loop from Dennytown Road          ","
            Fahnestock State Park          ","
            NY          ","
            5 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfallHistoric feature          ","
            Allowed on leash          ","
            41.420722,-73.868799          ","
            21,969          "
"
            Fahnestock State Park          ","
            Appalachian Trail/Blue Trail (Clear Lake) Loop from Route 301          ","
            Fahnestock State Park          ","
            NY          ","
            6.3 miles          ","
            Moderate          ","
            Views          ","
            No Dogs          ","
            41.454882,-73.833827          ","
            17,366          "
"
            Fishkill Ridge Conservation Area          ","
            Fishkill Ridge Conservation Area from Pocket Road          ","
            East Hudson Highlands          ","
            NY          ","
            6.8 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
            41.496862,-73.949237          ","
            16,712          "
"
            Granite Knolls Park          ","
            Granite Knolls Easy Loop          ","
            Westchester County          ","
            NY          ","
            3.5 miles          ","
            Easy          ","
            Woods          ","
            Allowed on leash          ","
            41.32459, -73.82486           ","
            17,491          "
"
            Harriman-Bear Mountain State Parks          ","
            West Mountain Loop from Anthony Wayne Recreation Area          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            6.8 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.297598,-74.027274          ","
            35,650          "
"
            Harriman-Bear Mountain State Parks          ","
            Ramapo Torne/Raccoon Brook Hills Trail Loop from Reeves Meadow          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            6.5 miles          ","
            Moderate          ","
            ViewsWaterfallPublic Transportation          ","
            Allowed on leash          ","
            41.173916,-74.168658          ","
            67,777          "
"
            Harriman-Bear Mountain State Parks          ","
            Suffern-Bear Mountain Trail/Pyngyp          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            7.5 miles          ","
            Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.297598,-74.027274          ","
            26,361          "
"
            Harriman-Bear Mountain State Parks          ","
            Circular Hike Around Bear Mountain          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            10 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.297598,-74.027274          ","
            24,514          "
"
            Harriman-Bear Mountain State Parks          ","
            Appalachian Trail/Long Path Loop from Silvermine Picnic Area          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            7.6 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.295607,-74.05961          ","
            24,687          "
"
            Harriman-Bear Mountain State Parks          ","
            Iron Mines Loop #3 (Northwest/Lemon Squeezer)          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            7 miles          ","
            Moderate to Strenuous          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            41.275723,-74.0887          ","
            21,225          "
"
            Harriman-Bear Mountain State Parks          ","
            Dater Mountain Nature Park and Harriman State Park          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            6 miles          ","
            Easy to Moderate          ","
            ViewsWaterfallPublic Transportation          ","
            Allowed on leash          ","
            41.171523,-74.176737          ","
            47,880          "
"
            Harriman-Bear Mountain State Parks          ","
            Raccoon Brook Hills Trail/Pine Meadow Lake/Diamond Mountain Loop          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            7.2 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
            41.173916,-74.168658          ","
            30,484          "
"
            Harriman-Bear Mountain State Parks          ","
            Bald Mountain/Doodletown Loop from Route 9W          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            5 miles          ","
            Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.300185,-73.984509          ","
            48,495          "
"
            Harriman-Bear Mountain State Parks          ","
            Green Pond/Boston Mine Longer Loop from Elk Pen          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            4.3 miles          ","
            Moderate to Strenuous          ","
            ViewsPublic TransportationHistoric feature          ","
            Allowed on leash          ","
            41.264792, -74.15426          ","
            25,449          "
"
            Harriman-Bear Mountain State Parks          ","
            Claudius Smith Den/Parker Cabin Mountain Loop          ","
            Harriman-Bear Mountain State Parks          ","
            NY          ","
            8.5 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.194208, -74.184460          ","
            19,255          "
