id,body,index,trail_id,created_at,updated_at
1,"This hike traverses a spectacular six-mile section of the Appalachian Trail. The first two miles are relatively level, but the last four miles involve many short but steep climbs and descents, as the trail traverses a series of rock outcrops.",0,1,2014-11-25 03:24:17.161407,2014-11-25 03:24:17.161407
2,"From the parking area, follow the white-blazed Appalachian Trail as it heads south into the woods, crossing several stone walls. In 0.4 mile, the trail crosses a seasonal stream and climbs to cross under a power line, with an interesting outcrop of puddingstone conglomerate rock on the left.",1,1,2014-11-25 03:24:17.164563,2014-11-25 03:24:17.164563
3,"The trail now climbs steeply to the crest of the ridge, then begins to descend, passing more puddingstone rock outcrops on the left. After crossing a seasonal stream, the outlet of a marsh to the right, the trail begins a gradual climb. It soon levels off, bears right at a double blaze (an unmarked path to the left leads to a clearing atop a large rock outcrop, with several cedars and a limited east-facing view). A short distance beyond, the trail passes through an area with hemlocks and mountain laurel thickets.",2,1,2014-11-25 03:24:17.166357,2014-11-25 03:24:17.166357
4,"About two miles from the start of the hike, you'll reach a junction where the blue-blazed Village Vista Trail starts on the left. This trail leads down to the Village of Greenwood Lake, but you should continue ahead on the white-blazed Appalachian Trail. A short distance beyond, the trail emerges onto open conglomerate rock ledges on the east side of the ridge. Continue ahead, climbing slightly, until you reach an outcrop that offers a panoramic view over Greenwood Lake. This is a good place to stop and take a break.",3,1,2014-11-25 03:24:17.168009,2014-11-25 03:24:17.168009
5,"The trail continues ahead, crossing more rock outcrops, with vegetation obstructing some of the views. After reaching the last in the series of these outcrops, the trail bears right and begins a steep descent. At the base of the descent, it crosses a seasonal stream. The trail now climbs a little, then continues through hemlocks and rhododendrons.",4,1,2014-11-25 03:24:17.170115,2014-11-25 03:24:17.170115
6,"After crossing another seasonal stream, the trail follows a rock ledge and then descends through thick hemlocks to reach a clearing next to Cascade Brook, which is crossed on rocks. After a level stretch, it climbs to a rock outcrop (with no views), then descends through hemlocks, mountain laurel and rhododendron, crossing several branches of a stream at the base of the descent.&nbsp;",5,1,2014-11-25 03:24:17.172593,2014-11-25 03:24:17.172593
7,"The trail now begins to climb, soon passing a huge rock cairn at the start of a long rock outcrop. For the next mile or so, the trail traverses a series of rock outcrops, with many short but steep climbs and descents. This is a relatively difficult but quite spectacular section of trail. There are some views to the east over the hills of Sterling Forest but, for the most part, views of Greenwood Lake are blocked by the trees.",6,1,2014-11-25 03:24:17.175019,2014-11-25 03:24:17.175019
8,"After a short stretch through the woods, the trail climbs to a massive rock outcrop, again marked with a huge cairn. This outcrop offers a 360-degree view (although trees obscure the view of Greenwood Lake), and it is a good place to stop and take a break. The trail descends from this outcrop and continues through the woods, traversing a number of smaller outcrops.",7,1,2014-11-25 03:24:17.177389,2014-11-25 03:24:17.177389
9,"Finally, you'll climb to the top of a large rock outcrop that offers an expansive view to the southeast over Greenwood Lake. You’ll want to take a break here to contemplate this spectacular panorama. Just beyond, there is a west-facing view, and then you’ll begin a very steep descent, with a ladder making it possible to traverse a near-vertical rock slab.&nbsp;",8,1,2014-11-25 03:24:17.179329,2014-11-25 03:24:17.179329
10,"After crossing a seasonal stream, the trail descends gradually. It crosses the wide Furnace Brook on rocks, with a cascade to the left, and continues on a nearly level footpath. After crossing another seasonal stream on rocks, the trail passes a wetland on the right and climbs gently along a rocky footpath that resembles a streambed. Rock outcrops soon appear on both sides of the trail, and the trail continues through a narrow valley.",9,1,2014-11-25 03:24:17.181714,2014-11-25 03:24:17.181714
11,"Soon, the trail turns right and climbs out of the valley. Near the top, the trail turns sharply left, but you should take a short detour to the right to reach the top of a rock outcrop with views to the north, east and south. Although Greenwood Lake is not visible from this vantage point, it offers the broadest view on the hike.&nbsp;",10,1,2014-11-25 03:24:17.184034,2014-11-25 03:24:17.184034
12,"Return to the trail, which soon begins to run along a rock ledge. A short distance beyond, the blue-blazed Zig Zag Trail, which leads to Cascade Lake Park in the Town of Warwick, begins on the right. You should continue straight ahead. The trail now climbs to Prospect Rock, an outstanding vantage point over Greenwood Lake, with the hills of Sterling Forest beyond.",11,1,2014-11-25 03:24:17.186343,2014-11-25 03:24:17.186343
13,"From Prospect Rock, the trail descends on a grassy woods road, interrupted by various rock outcrops. After passing through a dense growth of pitch pines, the trail arrives at the New York-New Jersey state line, marked by initials painted on the bedrock. A trail register is on a tree on the left; please sign.",12,1,2014-11-25 03:24:17.188615,2014-11-25 03:24:17.188615
14,"A short distance beyond, you'll reach a junction with the blue-on-white-blazed State Line Trail. Turn left, leaving the white-blazed Appalachian Trail and follow the State Line Trail as it heads east, crossing several minor ridges. In about half a mile, the yellow-blazed Ernest Walter Trail begins on the right, but you continue ahead on the State Line Trail, which descends steadily to end at the parking area on Lakeside Road, where you left your car.",13,1,2014-11-25 03:24:17.190661,2014-11-25 03:24:17.190661
15,"<br />From the Hoyt Road parking area, cross Hoyt Road and head north on the white-blazed Appalachian Trail.&nbsp; You will soon pass a short side trail on the left, which leads through a small field to a large hiker parking lot off of NY-55.&nbsp; This provides another parking option if the small Hoyt Road lot is full.&nbsp; Very soon you will notice a sign on a tree indicating the beginning of the Appalachian Trail through Connecticut, although you will be hiking in New York again later on.&nbsp; A map box, several of which are located along this route, is probably stocked with maps.&nbsp; Although these maps offer a very nice overview of the entire section of the Appalachian Trail that passes through Connecticut, it gives no details specific to this hike.&nbsp; Best to print out the Cross Thayer Brook at 10.2 miles then start the uphill trek on Mt. Algo.&nbsp; You will reach the high point in .4 mile.&nbsp; Now the rocky trail will descend continuously and soon your car will soon come into view way down at the bottom of the trail.",0,2,2014-11-25 03:24:17.19478,2014-11-25 03:24:17.19478
16,&nbsp;,1,2,2014-11-25 03:24:17.196609,2014-11-25 03:24:17.196609
17,"",2,2,2014-11-25 03:24:17.198217,2014-11-25 03:24:17.198217
32,"After passing an interesting split rock covered with ferns, the A.T. reaches a T-intersection at the outlet stream of Nuclear Lake. Here, the A.T. turns right, but you should turn left and follow the yellow-blazed Nuclear Lake Loop Trail, which begins here. The trail passes a scenic waterfall and soon reaches the gravel road leading into Nuclear Lake. It turns right and follows the road for 100 feet, crossing the outlet stream, then turns left, re-enters the woods, and follows a rocky footpath parallel to the southwest shore of the lake.",13,3,2014-11-25 03:24:17.229871,2014-11-25 03:24:17.229871
18,"v class=""hike-heading"">Turn by turn description</div>
       <p>[&nbsp; 0.00]&nbsp; Shuttle to Hoyt Road, hike north on white-blazed AT<br />[&nbsp; 0.40]&nbsp; Side trail on left to Route 55 parking lot at information board<br />[&nbsp; 0.45]&nbsp; Connecticut Appalachian Trail sign<br />[&nbsp; 0.65]&nbsp; Cross Route 55 (caution - very fast traffic)<br />[&nbsp; 1.20]&nbsp; Trail forks left - easy to miss<br />[&nbsp; 1.90]&nbsp; Partial view from short side trail to left<br />[&nbsp; 2.10]&nbsp; Blue Herrick Trail on right (turn right here for 2.35 mile out and back side trip to 2 views)<br />[&nbsp; 2.40]&nbsp; Trail turns sharply to the right where branches cover trail straight ahead<br />[&nbsp; 2.80]&nbsp; Cross woods road<br />[&nbsp; 2.90]&nbsp; Trail turns right at Tenmile River<br />[&nbsp; 3.10]&nbsp; Cross Tenmile River on the Ned Anderson Memorial Bridge (steps may be difficult for dogs)<br />[&nbsp; 3.20]&nbsp; Trail crosses power cut<br />[&nbsp; 3.70]&nbsp; Bear right at fork on wide gravel road<br />[&nbsp; 3.85]&nbsp; AT leaves gravel road to the left into woods (stay on gravel road for side trip to Bull's Bridge - return to AT by heading east on Bull's Bridge Road)<br />[&nbsp; 4.00]&nbsp; Turn left on paved Bull's Bridge Road<br />[&nbsp; 4.10]&nbsp; Turn right on Schaghticoke Road at Indian farm stand sign<br />[&nbsp; 4.40]&nbsp; AT leaves road to the left into woods, crossed into NY and ascends Schaghticoke Mountain with multiple views<br />[&nbsp; 7.20]&nbsp; NY/CT state line sign indicating return to CT<br />[&nbsp; 7.70]&nbsp; View to the east at Indian Rocks in the Schaghitoke Indian Reservation<br />[&nbsp; 8.25]&nbsp; Short side trail to right to view<br />[&nbsp; 8.40]&nbsp; Stay on white-blazed AT when blue-blazed side trail goes left to Schaghticoke Camping Area<br />[&nbsp; 9.40]&nbsp; High point; begin descent<br />[ 10.20]&nbsp; Cross Thayer Brook<br />[ 10.60]&nbsp; High point of trail on Mount Algo; begin descent<br />[ 11.20]&nbsp; Stay on white-blazed AT when blue-blazed side trail goes left to Mt. Algo shelter<br />[ 11.40]&nbsp; Cross woods road<br />[ 11.50]&nbsp; AT parking area on CT 341",3,2,2014-11-25 03:24:17.199812,2014-11-25 03:24:17.199812
19,"This is a “lollipop”-loop hike; however, the “stick” (the portion of the hike which must be retraced) is 5.3 miles long, and the loop around Nuclear Lake is only 1.9 miles. It involves over 1,500 feet of climbing overall, but most of the ascents are not exceptionally steep. The hike traverses an attractive, wooded area and features a number of panoramic views.",0,3,2014-11-25 03:24:17.204553,2014-11-25 03:24:17.204553
20,"From the parking area, proceed south along Route 22. In a short distance, the white-blazed Appalachian Trail (A.T.) joins from the left, near a kiosk. Continue south along Route 22 for another 500 feet, then turn right and cross the highway just south of a garden and landscaping center. You’ll immediately come to the Appalachian Trail station of the Metro-North Railroad (limited service, only on weekends). Cross the tracks and continue across a wetland on a1,600-foot-long boardwalk, constructed between 2009 and 2012 by volunteers, with the assistance of the Mid-Atlantic Trail Crew of the Appalachian Trail Conservancy.",1,3,2014-11-25 03:24:17.206302,2014-11-25 03:24:17.206302
21,"At the end of the boardwalk, you’ll cross a bridge over the Swamp River. The trail now turns right and climbs a little, heading north along the base of Corbin Hill. In two-thirds of a mile, after passing through a gap in a stone wall, the climb steepens, with the last part of the climb utilizing switchbacks.",2,3,2014-11-25 03:24:17.207896,2014-11-25 03:24:17.207896
22,"About a mile and a half from the start, you’ll reach the top of Corbin Hill. The trail heads through the woods for about 500 feet and emerges onto an overgrown field. It follows along the edge of the field, with woods on the left, and begins to descend. In another 750 feet, you’ll come to the end of the field, briefly traverse a wooded area, and emerge onto another field. Ahead, to the west (beyond the fields), you can see a hill, known as West Mountain, in the distance. You will soon be climbing to the top of this hill!",3,3,2014-11-25 03:24:17.209489,2014-11-25 03:24:17.209489
23,"Follow the white A.T. blazes, which turn left and follow the edge of the field (which is surrounded by a barbed wire fence that may be electrified). The trail continues to descend, with woods on the left. At the base of the descent, it crosses a wet area on puncheons and a bridge, then crosses a stone wall. It descends a little more and cuts across a corner of the field, following a switchback down to West Dover Road (County Route 20). Just before reaching the road, you’ll pass the Dover Oak. This white oak, estimated to be about 300 years old, has a circumference of over 20 feet, and is believed to be the largest blazed&nbsp; tree along the entire A.T. from Maine to Georgia.",4,3,2014-11-25 03:24:17.211763,2014-11-25 03:24:17.211763
24,"On the other side of the road, the trail descends to cross a wet area on rocks and puncheons. A short distance beyond, the trail climbs a jagged rock outcrop and begins its steady ascent of West Mountain, crossing a stream on a wooden bridge along the way.",5,3,2014-11-25 03:24:17.214724,2014-11-25 03:24:17.214724
25,"After climbing for about half a mile, you come to an intersection, where a side trail leads to the Telephone Pioneers Shelter. Turn left and follow the blue-blazed trail, which crosses a stream and leads in 500 feet to the shelter, constructed by the White Plains Council of the Telephone Pioneers of America in 1988. The picnic table in front of the shelter is a great spot to eat lunch or just take a break.",6,3,2014-11-25 03:24:17.217328,2014-11-25 03:24:17.217328
26,"When you’re ready to continue, retrace your steps to the A.T. and bear left at the intersection. The trail climbs some more, soon approaching the grass-covered summit ridge of West Mountain. Just below the summit, a side trail on the right leads a short distance to Cat Rocks – a panoramic east-facing viewpoint from an open rock outcrop. Down below, you can see West Dover Road, with fields beyond. The trail that you took earlier in the hike follows the edge of these fields (you can see the path that cuts across the corner of the field just east of the road!).",7,3,2014-11-25 03:24:17.219778,2014-11-25 03:24:17.219778
27,"For a round trip of 6.6 miles you can retrace your steps after taking in the view, but if you wish to continue, return to the A.T. and turn right. The trail climbs very gently to the height of land on West Mountain (1,205 feet), marked by a rock outcrop. You’ve climbed nearly 700 feet from West Dover Road to reach this point.",8,3,2014-11-25 03:24:17.221587,2014-11-25 03:24:17.221587
28,"The trail now begins to descend. In about half a mile, it crosses a stream, the outlet of a wetland to the right of the trail, and a short distance beyond, it goes across Penny Road – an old woods road, bordered on each side by stone walls. It continues to descend until it reaches a large wetland, crossed on a wooden bridge. The trail crosses another wet area on puncheons and begins a gentle climb.",9,3,2014-11-25 03:24:17.223269,2014-11-25 03:24:17.223269
29,"After reaching the crest of the rise, the trail descends, first rather steeply, then more gradually. In half a mile, it reaches a fork. Here, the blue-blazed Beekman Uplands Loop Trail begins on the right, but you should bear left to continue on the A.T., which runs above an interesting ravine on the left. The trail continues to descend towards Nuclear Lake – named for the nuclear fuel research facility that operated here until 1972. After the property was acquired by the National Park Service as part of the A.T. corridor, the buildings were razed and the area was extensively tested and found suitable for recreational use by the public.",10,3,2014-11-25 03:24:17.224863,2014-11-25 03:24:17.224863
30,"Near the shore of the lake, you’ll reach a junction with the yellow-blazed Nuclear Lake Loop Trail. This trail will be your return route, but for now, you should bear right to continue on the A.T. You’ve now hiked 5.3 miles and completed the “stick” of the “lollipop.”",11,3,2014-11-25 03:24:17.226589,2014-11-25 03:24:17.226589
31,"The A.T. follows the northwest shore of the lake, running close to the lakeshore for part of the way, with views across the lake. After a while, it reaches a small grassy clearing and continues along an old gravel road, passing some more clearings along the way. It follows the road for about 0.2 mile, then bears right, leaving the road, and continues on a footpath through the woods.",12,3,2014-11-25 03:24:17.228235,2014-11-25 03:24:17.228235
184,Cross to the east side of the road and follow the blue-blazed Escarpment Trail (co-aligned with a yellow-blazed horse trail) into the woods. The trail heads south and descends through a mixed forest of hemlocks and deciduous trees.,0,19,2014-11-25 03:24:17.559365,2014-11-25 03:24:17.559365
33,"As it approaches the southeastern corner of the lake, the trail briefly joins a woods road, then turns left, descends through mountain laurel, and crosses the inlet stream of the lake on rocks. The Nuclear Lake Loop Trail ends, near the northeastern corner of the lake, at a junction with the A.T. Turn right onto the A.T. and follow it for 5.3 miles, retracing your steps back to the parking area where the hike began.",14,3,2014-11-25 03:24:17.23151,2014-11-25 03:24:17.23151
34,"This hike traverses a two-mile section of the famous Appalachian Trail (A.T.), which extends for about 2,170 miles from Georgia to Maine. This short trail section includes two spectacular rock formations, which makes it one of the most interesting segments of the A.T. in New Jersey and New York.",0,4,2014-11-25 03:24:17.235772,2014-11-25 03:24:17.235772
35,"From the parking area, cross Route 17A and follow the white blazes of the A.T. into the woods. Almost immediately, you'll notice a blue-blazed side trail on the left. Turn left and follow this trail, which leads in about 1,000 feet to the Hawk Watch platform. The platform was constructed to permit volunteers to monitor spring and fall raptor migration, and it affords panoramic views to the west and north. After taking in the views, retrace your steps to the junction with the A.T. and continue ahead. At first, the trail parallels the noisy Route 17A, but the road soon bends to the right, away from the trail, and the sounds of traffic disappear",1,4,2014-11-25 03:24:17.237742,2014-11-25 03:24:17.237742
36,"The A.T. proceeds gently uphill, crosses a gas pipeline, and continues through an area with dense hemlock and mountain laurel. It then begins a gradual descent. About 1.3 miles from the start, you'll notice the start of a blue-blazed side trail. You’re now just below a spectacular outcrop of puddingstone rock known as the Eastern Pinnacles, and the side trail is provided so that A.T. thru-hikers won’t have to climb up the rock outcrop in bad weather (the rocks can be very slippery when wet). Hopefully, you’ve picked a day with good weather for your hike, and you’ll want to follow the white blazes ahead and scramble up the rock outcrop, which offers magnificent views to the north and east over the hills of Sterling Forest.",2,4,2014-11-25 03:24:17.239372,2014-11-25 03:24:17.239372
37,"The A.T. continues along the exposed rocks, with more views. You’ll have to use both your hands and your feet to negotiate this trail section. At the end of the rock outcrop, the white-blazed A.T. heads gently downhill. It goes through dense mountain laurel thickets and traverses a wet area, then climbs to Cat Rocks – another dramatic rock outcrop. Again, there is a blue-blazed trail that bypasses this feature, but you’ll want to follow the white blazes to the top of these fascinating puddingstone rocks. The east-facing view from Cat Rocks has largely grown in, but this outcrop is even more spectacular than Eastern Pinnacles because of the sheer drop from the top of the outcrop and the deep crevice on the left at the north end.",3,4,2014-11-25 03:24:17.240953,2014-11-25 03:24:17.240953
38,"The trail now begins to descend. In another third of a mile, just after crossing a stream, you’ll notice a blue-blazed side trail on the left, with a sign “shelter.” This trail passes through a dense rhododendron thicket, crosses a small stream, and leads in about 600 feet to the Wildcat Shelter. This wooden three-sided shelter, built by volunteers in 1992, is a favorite stop for many thru-hikers on the A.T. At this writing, the side trail is in poor condition (it will soon be replaced by a relocated trail), but it can be followed with care.",4,4,2014-11-25 03:24:17.242523,2014-11-25 03:24:17.242523
39,"After resting at the shelter (and perhaps meeting a few thru-hikers, on their way from Georgia to Maine), retrace your steps to the A.T., turn right and head south to return to your car.",5,4,2014-11-25 03:24:17.244142,2014-11-25 03:24:17.244142
40,"This hike traverses the 130-acre Black Creek Preserve, acquired by Scenic Hudson is 1992 to protect it from development and provide a beautiful natural area for people to approach and experience the shore of the Hudson River in a secluded environment.",0,5,2014-11-25 03:24:17.24836,2014-11-25 03:24:17.24836
41,"From the kiosk at the end of the parking area, cross the road and follow the yellow-blazed Black Creek Trail, which goes under a picturesque archway and briefly parallels the Black Creek. It soon turns right and crosses the creek on a 120-foot suspension bridge.",1,5,2014-11-25 03:24:17.250026,2014-11-25 03:24:17.250026
42,"",2,5,2014-11-25 03:24:17.251634,2014-11-25 03:24:17.251634
43,"Just beyond, a triple-yellow blaze marks the end of the Black Creek Trail at a junction with the red-blazed Vernal Pool Trail. The trail ahead will be your return route, but for now, turn right and follow the sign indicating the way to the Hudson River. The red-blazed trail climbs over a small rise and passes several vernal pools. Soon, the trail turns left and begins to parallel a stone wall – a reminder that this forested area was once farmland. It swings through a gap in the wall, then continues to parallel the other side of the wall.",3,5,2014-11-25 03:24:17.253222,2014-11-25 03:24:17.253222
44,"At the end of the stone wall, a triple-blue blaze marks the start of the Hudson River Trail. Turn right and follow the blue blazes downhill, steeply in places, with glimpses of the Hudson River through the trees. Soon, you'll reach the shore of the river. You'll want to take a break here to take in the panoramic views across the river. You might see an Amtrak train along the tracks on the other side of the river.",4,5,2014-11-25 03:24:17.254831,2014-11-25 03:24:17.254831
45,"The trail continues along the river, soon reaching a jagged rock outcrop, with a pitch pine growing on the water's edge. This is another good spot to take a break.",5,5,2014-11-25 03:24:17.256479,2014-11-25 03:24:17.256479
46,"When you're ready to continue, follow the blue blazes uphill. The Hudson River Trail climbs on switchbacks to reach to a junction with the red-blazed Vernal Pool Trail. Turn right onto this red-blazed trail, which curves to the right and heads north, parallel to the river, with glimpses of the river through the trees on the right.",6,5,2014-11-25 03:24:17.258067,2014-11-25 03:24:17.258067
47,"&nbsp;In a quarter of a mile, the trail bends sharply left and follows the Old Farm Road (still blazed red), now heading south. After passing through an attractive hemlock grove, you'll reach a junction with the yellow-blazed Black Creek Trail. Continue ahead on the Black Creek Trail, retracing your footsteps to your car.",7,5,2014-11-25 03:24:17.259817,2014-11-25 03:24:17.259817
48,"The hike begins by following the yellow-diamond-blazed Mine Hill Trail, which starts on the opposite side of the road, just beyond the parking turnout. The trailhead is marked by a triple blaze. Follow the trail uphill, steeply in places. At a switchback turn, there are views over the Shawangunks and Catskills from open rocks to the left. The Mine Hill Trail now heads south and soon ends at a junction with the yellow-circle-blazed Sackett Trail. (You’ll encounter four different yellow-blazed trails on this hike, so it’s important to note the SHAPE of the blazes, in addition to their COLOR.) Turn right and follow the Sackett Trail to its end at a junction with the yellow-rectangle-blazed Stillman Trail. Turn left onto the Stillman Trail, which soon turns right onto Hall Road.",0,6,2014-11-25 03:24:17.264226,2014-11-25 03:24:17.264226
64,"At the top of the climb, the trail comes out on open rocks, with a spectacular west-facing view. Black Rock Mountain may be seen on the right, and the Black Rock Forest fire tower is to its left. (Despite the name ""Hill of Pines,"" there are only two pine trees near the summit, which is mostly covered with oaks). You’ll want to spend some time at this magnificent vantage point.",3,7,2014-11-25 03:24:17.292957,2014-11-25 03:24:17.292957
49,"Where the road curves to the right, turn left and follow the yellow-rectangle blazes, which head into the woods on a less-used woods road. Almost immediately, you’ll reach a junction with the blue-blazed Compartment Trail. Bear right and follow both blue and yellow rectangle blazes, which climb towards the crest of a ridge. At the crest, the trails split, and you should turn right, continuing to follow the blue blazes of the Compartment Trail.",1,6,2014-11-25 03:24:17.266009,2014-11-25 03:24:17.266009
50,"As the Compartment Trail curves left, watch for three white blazes on the left, which mark the start of the Split Rock Trail. Turn left and follow the white-blazed Split Rock Trail, which leads in a short distance to a panoramic viewpoint to the southeast from open rocks, with Sutherland Pond directly below. This is a good spot to take a break.",2,6,2014-11-25 03:24:17.267635,2014-11-25 03:24:17.267635
51,"Continue ahead (northeast) on the white-blazed trail. After passing the Split Rock that gives the trail its name, the trail descends to its end at Sutherland Road. Turn right onto the road, and, almost immediately, you’ll notice a large cut into the hillside to the right. This is the site of an abandoned mine. Proceed ahead on Sutherland Road, which soon approaches the shore of Sutherland Pond – the only natural pond in Black Rock Forest (the other ponds are man-made). Swimming is permitted in this pond, but at your own risk.",3,6,2014-11-25 03:24:17.269204,2014-11-25 03:24:17.269204
52,"In another half a mile, Hall Road comes in from the right. You should continue ahead along the road (now known as Jim’s Pond Road) for a few hundred feet until you reach a fork in the road, where three yellow blazes mark the start of the Arthur Trail. Follow the yellow-rectangle-blazed Arthur Trail, which crosses a stream on a split-log bridge and continues through dense mountain laurel. A short distance beyond, the trail crosses a swamp on puncheons made from large sections of logs. These puncheons can be slippery, and the crossing can be a little tricky, especially if the water is high.",4,6,2014-11-25 03:24:17.27111,2014-11-25 03:24:17.27111
53,"Just beyond the swamp, you’ll reach a junction with the white-blazed Scenic Trail. Turn left, leaving the Arthur Trail, and continue ahead on the Scenic Trail. Soon, the blue-blazed Chatfield Trail leaves to the left, but you should continue ahead on the Scenic Trail.",5,6,2014-11-25 03:24:17.272726,2014-11-25 03:24:17.272726
